match_id,date,giornata,team,opponent,is_home,team_score,opp_score,result,n_periods,team_fga,team_fgm,team_fta,team_oreb,team_dreb,team_tov,opp_fga,opp_fgm,opp_fta,opp_oreb,opp_dreb,opp_tov,team_pace,opp_pace,game_pace
53379,03/12/2025,9,Autosped G Castelnuovo Scrivia,Famila Wuber Schio,False,66,79,L,4,59.0,23.0,12.0,7.0,22.0,16.0,61.0,31.0,10.0,7.0,29.0,16.0,72.8,73.7,73.2
53381,03/12/2025,9,Dinamo Banco di Sardegna Sassari,Geas Sesto San Giovanni,True,69,65,W,4,62.0,25.0,18.0,12.0,27.0,15.0,62.0,24.0,18.0,11.0,29.0,14.0,73.3,72.2,72.8
53381,03/12/2025,9,Geas Sesto San Giovanni,Dinamo Banco di Sardegna Sassari,False,65,69,L,4,62.0,24.0,18.0,11.0,29.0,14.0,62.0,25.0,18.0,12.0,27.0,15.0,72.2,73.3,72.8
53382,07/12/2025,10,Alama San Martino di Lupari,Logiman Broni,True,69,73,L,4,63.0,25.0,16.0,10.0,18.0,12.0,52.0,25.0,22.0,10.0,32.0,16.0,72.4,67.4,69.9
53382,07/12/2025,10,Logiman Broni,Alama San Martino di Lupari,False,73,69,W,4,52.0,25.0,22.0,10.0,32.0,16.0,63.0,25.0,16.0,10.0,18.0,12.0,67.4,72.4,69.9
53383,07/12/2025,10,O.ME.P.S. Battipaglia,La Molisana Magnolia Campobasso,True,59,71,L,4,60.0,20.0,19.0,9.0,28.0,12.0,63.0,27.0,9.0,12.0,31.0,17.0,70.7,72.4,71.6
53383,07/12/2025,10,La Molisana Magnolia Campobasso,O.ME.P.S. Battipaglia,False,71,59,W,4,63.0,27.0,9.0,12.0,31.0,17.0,60.0,20.0,19.0,9.0,28.0,12.0,72.4,70.7,71.6
53384,07/12/2025,10,People Strategy Roseto,Dinamo Banco di Sardegna Sassari,True,88,66,W,4,72.0,35.0,8.0,11.0,29.0,10.0,65.0,26.0,10.0,11.0,25.0,15.0,73.4,72.9,73.2
53384,07/12/2025,10,Dinamo Banco di Sardegna Sassari,People Strategy Roseto,False,66,88,L,4,65.0,26.0,10.0,11.0,25.0,15.0,72.0,35.0,8.0,11.0,29.0,10.0,72.9,73.4,73.2
53385,06/12/2025,10,Autosped G Castelnuovo Scrivia,RMB Brixia Basket San Paolo,True,87,38,W,4,62.0,33.0,9.0,11.0,35.0,14.0,56.0,14.0,8.0,7.0,18.0,17.0,68.2,69.0,68.6
53385,06/12/2025,10,RMB Brixia Basket San Paolo,Autosped G Castelnuovo Scrivia,False,38,87,L,4,56.0,14.0,8.0,7.0,18.0,17.0,62.0,33.0,9.0,11.0,35.0,14.0,69.0,68.2,68.6
53386,07/12/2025,10,Geas Sesto San Giovanni,Famila Wuber Schio,True,44,66,L,4,57.0,16.0,12.0,7.0,29.0,10.0,70.0,25.0,15.0,17.0,35.0,7.0,65.0,65.8,65.4
53386,07/12/2025,10,Famila Wuber Schio,Geas Sesto San Giovanni,False,66,44,W,4,70.0,25.0,15.0,17.0,35.0,7.0,57.0,16.0,12.0,7.0,29.0,10.0,65.8,65.0,65.4
53387,13/12/2025,11,RMB Brixia Basket San Paolo,People Strategy Roseto,True,64,75,L,4,72.0,21.0,17.0,12.0,29.0,10.0,73.0,27.0,6.0,18.0,39.0,21.0,76.6,77.8,77.2
53387,13/12/2025,11,People Strategy Roseto,RMB Brixia Basket San Paolo,False,75,64,W,4,73.0,27.0,6.0,18.0,39.0,21.0,72.0,21.0,17.0,12.0,29.0,10.0,77.8,76.6,77.2
